Questiontype,subject,subarea,difficulty,Questiontext,option1,option2,option3,option4,option5,option6
Multiple Choice Question,Java,Keywords,Beginner,Which one of these lists contains only Java programming language keywords?,"goto, instanceof, native, finally, default, throws","class, if, void, long, Int, continue","try, virtual, throw, final, volatile, transient","strictfp, constant, super, implements, do","byte, break, assert, switch, include",
Multiple Choice Question,Java,Keywords,Beginner,Which is a reserved word in the Java programming language?,native,method,subclasses,reference,array,
Multiple Choice Question,Java,Types,Beginner,Which one of the following will declare an array and initialize it with five numbers?,"int [] a = {23,22,21,20,19};",Array a = new Array(5);,int a [] = new int[5];,int [5] array;,,
Multiple Choice Question,Java,Types,Beginner,Which one is a valid declaration of a boolean?,boolean b3 = false;,boolean b1 = 0;,boolean b2 = 'false';,boolean b4 = Boolean.false();,boolean b5 = no;,
Multiple Choice Question,Java,Types,Beginner,What is the numerical range of a char?,0 to 65535,-128 to 127,-(2<sup>15</sup>) to (2<sup>15</sup>)-1,0 to 32767,,
Multiple Choice Question,Java,Exception Handling,Intermediate,"How can you stop the finally() block from executing, after try-catch block execution?",by calling System.exit from try or catch block, by calling return statement from try or catch block,by Both return and System.exit,None of the above,,
Multiple Choice Question,Java,Multi Threading,Intermediate,"In Java, each thread has its own ________, in which it runs ?",Call stack,main() method,JVM,Memory,,
Multiple Choice Question,Java,Keywords,Intermediate,Which of the following stements are incorrect?,finalize() method is called when a object goes out of scope and is no longer needed.,Constructor can be parameterized.,Default constructor is called at the time of declaration of the object if a constructor has not been defined.,finalize() method must be declared protected.,,
Multiple Choice Question,Java,Basics,Intermediate,Which of the following statements are incorrect?,Variables declared as final occupy memory.,final variable must be initialized at the time of declaration.,Arrays in java are implemented as an object.,All arrays contain an attribute-length which contains the number of elements stored in the array.,,
Multiple Choice Question,Java,Interface,Intermediate,<pre><b>package pck1;</b><br/>public class A<br/>{<br />int x = 10;<br />public int y = 20; <br />}<br /><b>package pck2;</b><br />import pck1.*;<br />class Test<br /> {<br /> public static void main(String []args)<br /> {<br /> A a = new A();          // line 7<br />    System.out.println(a.x);  // line 8<br />    System.out.println(a.y); // line 9<br />  }<br />}<br /></pre><br />,compilation error at line 8,10 20,compilation error at line 7,compilation error at line 9,,
Multiple Choice Question,Java,Strings,Expert,Which class is used to create mutable and non-synchronised string?,StringBuilder,StringBuffer,String,StringTokenizer,,
Multiple Choice Question,Java,JSP,Architect,Which of the following is CORRECT?,JSP scriptlets and declarations result in code that is inserted inside the _jspService method.,The JSP statement <%! int x; %> is equivalent to the statement int x;.,"To use the character %> inside a scriptlet, you may use %\> instead.",The following are some of the predefined variables that maybe used in JSP expression:,,
